"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","name","address[a]","address[b]","address[c]","address[d]","address[e]","address[a1]","email","phone","website","facebook","twitter","hours[SQ001]","hours[SQ001comment]","hours[SQ002]","hours[SQ002comment]","hours[SQ003]","hours[SQ003comment]","hours[SQ004]","hours[SQ004comment]","hours[SQ005]","hours[SQ005comment]","hours[SQ006]","hours[SQ006comment]","hours[SQ007]","hours[SQ007comment]","contactName","contactDetails","description","values[SQ001]","values[SQ002]","values[SQ003]","values[SQ004]","values[SQ005]","structure[SQ001]","structure[SQ002]","structure[SQ003]","structure[SQ004]","structure[SQ005]","structure[SQ006]","structure[SQ007]","structure[SQ008]","structure[SQ009]","structure[SQ010]","structure[SQ011]","structure[SQ012]","activity","secondaryActivities[SQ002]","secondaryActivities[SQ003]","secondaryActivities[SQ004]","secondaryActivities[SQ005]","secondaryActivities[SQ006]","secondaryActivities[SQ007]","secondaryActivities[SQ008]","secondaryActivities[SQ009]","secondaryActivities[SQ010]","secondaryActivities[SQ011]","secondaryActivities[SQ012]","secondaryActivities[SQ013]","network","websiteConsent","contactConsent","suggestedInitiatives","interviewtime","groupTime9","nameTime","addressTime","emailTime","phoneTime","websiteTime","facebookTime","twitterTime","hoursTime","contactNameTime","contactDetailsTime","groupTime10","descriptionTime","valuesTime","structureTime","activityTime","secondaryActivitiesTime","networkTime","groupTime11","websiteConsentTime","contactConsentTime","suggestedInitiativesTime"
"71","2019-05-08 14:56:00","3","en","","2019-05-08 14:52:00","2019-05-08 14:56:00","The Village - Childcare Collective","","","","","","No physical address","","","","","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","lalordoireann@gmail.com","07507566137","The Village is a collective of 15 families who care for one another's children - like a childcare ""time bank"". This offers free, flexible, trusted and community-based childcare to families.","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Health, Social Care & Wellbeing","N/A","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","We are under the umbrella of the Children's Allotment.","Yes","Yes","","280.07","90.95","","","","","","","","","","","178.62","","","","","","","10.5","","",""
"72","2019-05-08 18:42:00","3","en","","2019-05-08 18:35:00","2019-05-08 18:42:00","SOMA Housing Co-Operative Ltd","St. John's House","5 South Parade","Summertown","Oxford","OX2 7JL","","secretary@somahousingco-op.org.uk","07833144296","http://www.somahousingco-op.org.uk/index.html","","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","David Urmston","david@oxfordpcsolutions.co.uk","It is SOMA's intention to purchase land in order to establish a sustainable community which is made up of ""social housing"" with tenants living in self built eco homes which they have at an affordable rent. The co-op will also provided support structures that are required and which enable a disabled person to live independently and experience a healthier and more fulfilling life.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","Housing","Yes","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes","N/A","Yes","Yes","","Yes","Yes","Oxfordshire Community Land Trust","409.19","198.71","","","","","","","","","","","163.44","","","","","","","47.04","","",""
"74","2019-05-08 20:59:00","3","en","","2019-05-08 20:51:00","2019-05-08 20:59:00","Banbury Community Action Group","","","","","OX16","We don't have a physical address","banburycag@gmail.com","","https://banburycag.org.uk/","https://www.facebook.com/BanburyCAG/","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Alison Seren","AlisonSeren@outlook.com","Banbury Community Action Group was set up in 2013 to run free local community projects on food, waste, transport and energy.

We meet 1st Tuesday of the month at 4 Ale and Gin, Butchers Row, Banbury and occasionally other locations around the town.

There are always lots of projects on the go including our Community Edible Garden, Give or Take events and work in the Community Orchard.  We are always looking for new people to join us and get involved in a project or start a new one!","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nature, Conservation & Environment","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Yes","We are part of the Oxfordshire Community Action Groups Network","Yes","Yes","","493.56","267.78","","","","","","","","","","","214.38","","","","","","","11.4","","",""
"75","2019-05-09 10:24:00","3","en","","2019-05-09 10:19:00","2019-05-09 10:24:00","Tolhurst Organic Partnership","The Packing Shed","Hardwick Estate Walled Garden","","Reading","RG8 7RB","","info@tolhurstorganic.co.uk","07795334474","http://www.tolhurstorganic.co.uk/","https://www.facebook.com/TolhurstOrganic/","","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Tamara Schiopu","INFO@TOLHURSTORGANIC.CO.UK","Tolhurst Organic is a farm specialised in local fruit and veg. The food produced here is the product of an entire journey. The journey is one which deeply involves many people who come here, creates a model for Stockfree Organic farming, supports an idyllic rural lifestyle and provides soul food for those who work here and good food for ourselves and our families. Our aim is not to supply every family in the south but to farm with an emphasis on education and conservation. Our farming system not only helps to minimise harmful effects on the environment but feeds you and your family as well.","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Thames Organic Growers, Organic Growers Alliance, Landworkers Alliance","Yes","Yes","","338.34","126.8","","","","","","","","","","","192.06","","","","","","","19.48","","",""
"77","2019-05-09 12:10:00","3","en","","2019-05-09 12:07:00","2019-05-09 12:10:00","Kindling Housing Co-operative","","","","Oxford","OX4","","info@kindlingcoop.org","01865806383","http://kindlingcoop.org/","","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Audrey Versteegen","info@kindlingcoop.org","Kindling Housing Cooperative aims to provide a safe, secure, affordable and supportive environment for generations of politically and socially active individuals. We believe this is even more important at a time when other forms of housing are further out of reach. We aim to provide a productive living space for a diverse group of individuals and help to ensure the continuation of vital radical social and ecological projects for a more equal society. Through this project we are attempting to demonstrate and inspire a different way of living: taking decisions by consensus, taking control of our infrastructure, connecting to the community and ecosystem, whilst being practical, empathic, active and egalitarian.  ","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","Housing","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","We are part of the Radical Routes network (global network of fully mutual housing coops). In Oxford we are part of the Fairer Housing Network.","Yes","Yes","Dragonfly housing coop, Makespace, Transition by Design.","211.04","137.07","","","","","","","","","","","59.29","","","","","","","14.68","","",""
"78","2019-05-09 12:17:00","3","en","","2019-05-09 12:11:00","2019-05-09 12:17:00","SHARE Oxford - A Library of Things","Makespace Oxford","1 Aristotle Lane","","Oxford","OX2 6TP","","libraryofthings@shareoxford.org","","https://shareoxford.org/","https://www.facebook.com/shareoxfordLoT/","@shareoxford_lot","Yes","Closed","Yes","16:00 – 19:00","Yes","Closed","Yes","16:00 – 19:00","Yes","Closed","Yes","13:00 – 17:00","Yes","Closed","Alexandra Mates or Maurice Herson ","Email: alexandra.mates@shareoxford.org / Mobile: 07581386361 or Email: maurice.herson@shareoxford.org / Mobile: 07410 942204 ","SHARE Oxford aims to make sharing easier and to increase access to good quality things so that we may reduce consumption and waste, save money, save the environment, and feel good about it. We host Oxford’s Library of Things, which allows people to borrow instead of buy items needed only occasionally, like outdoor equipment, DIY tools, cooking implements, and more. We also run regular Repair Cafes where our volunteers fix your broken items to keep them in use for longer. ","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Reduce, Reuse, Repair & Recycle","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","Library of Things movement and CAG Oxfordshire Network.","Yes","Yes","Anyone at Makespace. Any CAG group?","388.38","331.74","","","","","","","","","","","46.11","","","","","","","10.53","","",""
"79","2019-05-09 12:23:15","3","en","782929922","2019-05-09 12:18:02","2019-05-09 12:23:15","Harwell Green Club","Harwell Campus","","","Didcot","OX11 0GD","","","","https://www.linkedin.com/groups/8529608/","","","No","","No","","No","","No","","No","","No","","No","","John Vandore","Email: john.vandore@stfc.ac.uk / Phone: 07852 104886","The Harwell Green Club is a forum for People on and off the Harwell Campus with a shared interest in a Low Carbon Sustainable Future. It aims to bring people of this mind together to share information, make new connections and exchange views, meeting informally the third Thursday of the month, and is open to all.","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Nature, Conservation & Environment","No","No","No","No","Yes","No","No","No","No","No","No","Yes","We are a network!","Yes","Yes","","314.71","250.46","","","","","","","","","","","36.57","","","","","","","27.68","","",""
"80","2019-05-09 12:28:51","3","en","517409666","2019-05-09 12:23:30","2019-05-09 12:28:51","Dragonfly Housing Co-operative","178 Campbell Road","","","Oxford","OX4 3NR","","","","https://radicalroutes.org.uk/","","","No","","No","","No","","No","","No","","No","","No","","Alice Hemming","Email: dragonflyoxford@gmail.com / Phone: 01865 770833","Dragonfly is a Housing Co-operative with a mission to provide a fair-priced, democratically-controlled home, whilst encouraging its residents to contribute to various environmental and social justice campaigns. Dragonfly is a member of the Radical Routes network of radical co-operatives, whose members are also committed to working for positive social change. The network is made up mainly of housing co-operatives of various sizes (none with more than 17 members), a few workers co-ops and a couple of social centres.","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Housing","No","No","No","No","No","No","No","No","No","No","No","No","Radical Routes","Yes","Yes","","322.75","256.29","","","","","","","","","","","58.54","","","","","","","7.92","","",""
"81","2019-05-09 12:31:00","3","en","","2019-05-09 12:29:00","2019-05-09 12:31:00","Oxford Wood Recycling","4 Suffolk Way","","","Abingdon","OX14 5JX","","info@owr.org.uk","01235861228","www.owr.org.uk","https://www.facebook.com/OxfordWoodRecycling/","@OxfordWood","Yes","8:30 – 16:30","Yes","8:30 – 16:30","Yes","8:30 – 16:30","Yes","8:30 – 20:00","Yes","8:30 – 16:30","Yes","9:00 – 15:00","Yes","Closed","Richard Snow","Email: richard@owr.org.uk / Phone: 07827293429","Oxford Wood Recycling was established in 2005 to address the sustainability issues surrounding wood waste management in the UK whilst providing employment opportunities for people facing disadvantages to re-enter the workplace. We collect unwanted wood from both commercial and domestic properties that may otherwise end up in landfill. Our reclaimed wood is then cleaned up and offered for sale or made into furniture in our Abingdon workshop - reducing waste and carbon emissions by recycling and up-cycling wood.","Yes","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Reduce, Reuse, Repair & Recycle","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A","N/A","Yes","N/A","We are part of the Community Wood Recycling Project Network (NCWRP). We are also members of Social Enterprise UK, OCVA, Plunkett Foundation and fellows of the School for Social Entrepreneurs. We are a Disability Confident Employer.","Yes","Yes","","163.03","115.83","","","","","","","","","","","40.95","","","","","","","6.25","","",""
"82","2019-05-09 12:35:29","3","en","1838465636","2019-05-09 12:32:07","2019-05-09 12:35:29","Agile Collective","The Old Music Hall","106-108 Cowley Road","","Oxford","OX4 1JE","","info@agile.coop","01865403120","https://agile.coop","","@AgileCollective","No","","No","","No","","No","","No","","No","","No","","Aaron","Email: aaron@agile.coop / Phone: 7728337459","Agile Collective is an ethical digital agency and worker co-operative with an experienced team based in the UK and Italy. We work exclusively with organisations that have a positive impact in the world, and our clients are most often drawn from the charity, NGO, education and public sectors. We work with open source software and agile delivery methodologies and place a strong emphasis on user experience. Our core technology is the leading open source content management system (CMS), Drupal, but from time to time we also work with other open source platforms including Wordpress.
As a company with a conscience, we contribute to our communities, minimise our environmental impact, value fairness and transparency, and ensure sustainability in our working practices.","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Goods & Services","No","No","No","No","No","No","No","No","No","No","No","No","CoTech, a network of tech worker coops in the UK. The manifesto is at https://www.coops.tech/manifesto","Yes","Yes","","204.1","138.91","","","","","","","","","","","57.56","","","","","","","7.63","","",""
"83","2019-05-09 12:39:00","3","en","","2019-05-09 12:35:00","2019-05-09 12:39:00","Hand me on maternity, baby & toddler kit Oxford","","","","Oxford","OX4 3PB","Facebook Group","","","https://www.facebook.com/groups/1892367431092261","https://www.facebook.com/groups/1892367431092261","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Mim Saxl","Email: mimsaxl@hotmail.com / Phone: 7932073091","We are an online community that share and pass on pre-loved maternity, baby and toddler clothes, toys and equipment for free. ","N/A","N/A","Yes","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Reduce, Reuse, Repair & Recycle","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","","252.29","209.95","","","","","","","","","","","31.26","","","","","","","11.08","","",""
"84","2019-05-09 12:41:00","3","en","","2019-05-09 12:40:00","2019-05-09 12:41:00","Hand me on 3-8yrs kid's stuff Oxford ","","","","Oxford","OX4 3PB","Facebook Group","","","https://www.facebook.com/groups/1993343017383118","https://www.facebook.com/groups/1993343017383118","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Mim Saxl","Email: mimsaxl@hotmail.com / Phone: 7932073091","We are an online community that share and pass on pre-loved maternity, baby and toddler clothes, toys and equipment for free. ","N/A","N/A","Yes","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Reduce, Reuse, Repair & Recycle","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","","78.14","44.16","","","","","","","","","","","26.72","","","","","","","7.26","","",""
"85","2019-05-09 12:43:26","3","en","857114379","2019-05-09 12:41:42","2019-05-09 12:43:26","Low Carbon West Oxford","","","","Oxford","OX2 0ET","","info@lcwo.org.uk","","https://www.lowcarbonwestoxford.org.uk","https://www.facebook.com/lowcarbonwestoxford/","@Low_Carbon_West","No","","No","","No","","No","","No","","No","","No","","N/A","Mobile: 7932073091","Low Carbon West Oxford (LCWO) was set up after the summer floods of 2007 by residents concerned about climate change and local flooding. It is a community-led initiative which aims to combat climate change by cutting their community’s carbon dioxide emissions by 80 % by 2050, encouraging residents to live more sustainably, and contributing to a more cohesive and resilient community. They seek to work in an inclusive manner and ensure that everyone who lives and works in the area has a chance to participate in and benefit from LCWO’s projects.","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","We are part of a network with two local initiative, WOCORe and Osney Lock Hydro – read more about the West Oxford Model here: https://www.lowcarbonwestoxford.org.uk/the-west-oxford-model/
Formal network of CAGs - Community Action Groups - in Oxfordshire
Also part of various informal sub groups working on different particular issues
In addition, we work closely with others through Low Carbon Oxford's Oxford Green Week, Bioregional's One Planet Oxfordshire, Oxfordshire Together on Climate Change and with the Low Carbon Hub - and frequently partner with other groups and networks (both formal and informal) on particular events and topics.","Yes","Yes","","104.88","56.18","","","","","","","","","","","42.16","","","","","","","6.54","","",""
"86","2019-05-09 12:46:30","3","en","961892985","2019-05-09 12:43:38","2019-05-09 12:46:30","South Oxford Farmers and Community Market","South Oxford Community Centre","Lake Street","","Oxford","OX1 4RP","","info@southoxfordfarmersmarket.org.uk	","","http://www.southoxfordfarmersmarket.org.uk/","https://www.facebook.com/southoxfordfarmersmarket","","No","","No","","No","","No","","No","","No","","Yes","9:30 – 12:00","N/A","Tel: 01865 248973","The South Oxford Farmers and Community Market (SOFACOMA) is a weekly market selling ethically-produced local, seasonal and/or organic food and non-food goods. We define ‘local’ as being produced within a 30-mile radius of Oxford; and ‘produced’ as containing a significant quantity of local ingredients and labour. The South Oxford Farmers and Community Market is an initiative of the Low Carbon South Oxford (LCSO) Sustainable Food Group which supports the promotion of local food as a way of helping to combat climate change by reducing the amount of carbon released in the transport of food over long distances.","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Food","No","No","No","No","No","No","Yes","No","No","No","No","No","Kind of. There is an Oxford Community Markets group but it is pretty dormant. We are part of the Low Carbon South Oxford group (also fairly dormant as a committee) which is a CAG member.","Yes","Yes","East Oxford and Wolvercote Farmers mkt. (the others are all commercial, I believe)","173.9","127.47","","","","","","","","","","","32.83","","","","","","","13.6","","",""
"87","2019-05-09 12:49:43","3","en","502118196","2019-05-09 12:46:46","2019-05-09 12:49:43","Oxford GreenPrint","East Oxford Community Centre","OARC (Room 1) upstairs","44 Princes Street","Oxford","OX4 1DD","","mail@oxfordgreenprint.com","01865 682819","http://oxfordgreenprint.com/","https://www.facebook.com/oxfordgreenprint/","@OxGreenPrint","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","Closed","Yes","Closed","N/A","Tel: 01865 682819 / Email: mail@oxfordgreenprint.com","Oxford GreenPrint is a workers’ co-operative providing ethical, low impact printing to community groups, campaign groups, NGOs and businesses both in Oxford and across the UK. All their printing is done on recycled paper or card using renewable energy.","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Goods & Services","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","OARC","177.12","120.96","","","","","","","","","","","44.86","","","","","","","11.3","","",""
"88","2019-05-09 12:51:43","3","en","2090570104","2019-05-09 12:49:59","2019-05-09 12:51:43","Abingdon Carbon Cutters","St Ethelwolds House","30 East St Helen Street","","Abingdon","OX14 3EB","","carbon.cutters@gmail.com","","http://abingdoncarboncutters.org.uk","https://www.facebook.com/AbingdonCarbonCutters","@AbCarbonCutters","No","","No","","No","","No","","No","","No","","No","","N/A","Mob: 07786 055195","Abingdon Carbon Cutters is a Community Action Group working in and around Abingdon to:
•	help reduce the carbon footprint of Abingdon in response to climate change;
•	promote a sustainable and resilient lifestyle for our town as fossil fuel stocks decline;
•	promote a range of activities consistent with the status of Abingdon as a community in Transition.
They focus on issues relating to food, waste reduction, energy, education and transport.","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","CAG and Transition Network.","Yes","Yes","","104.52","61.64","","","","","","","","","","","37.66","","","","","","","5.22","","",""
"89","2019-05-09 12:53:59","3","en","2018066483","2019-05-09 12:51:53","2019-05-09 12:53:59","Oxford Permaculture Picturehouse","East Oxford Community Centre","44 Princes Street","","Oxford","OX4 1DD","","","","","","","No","","No","","No","","No","","No","","No","","No","","Antony Melville","Email: antonymelville@gmail.com / Mobile: 07732628174","Oxford Permaculture Picturehouse aims to bring people together around films in sympathy with permaculture, promoting permaculture messages and know-how, but most of all reinforcing the network of interested people. Films are usually screened on the 4th Monday of the month at the East Oxford Community Centre.","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Arts, Media, Culture & Leisure","No","No","No","No","No","Yes","No","No","No","No","Yes","No","","Yes","Yes","","127.82","48.3","","","","","","","","","","","72.53","","","","","","","6.99","","",""
"90","2019-05-09 12:56:45","3","en","1781207202","2019-05-09 12:54:18","2019-05-09 12:56:45","New Internationalist Publications Ltd","The Old Music Hall","106-108 Cowley Road","","Oxford","OX4 1JE","","","01865 403345","https://newint.org","https://www.facebook.com/newint","@newint","No","","No","","No","","No","","No","","No","","No","","Katalin Szombati","Email: katalin.szombati@newint.org","New Internationalist is a leading independent media organization dedicated to socially conscious journalism and publishing. They are an independent, not-for-profit media multi-stakeholder co-operative, owned by their workers and over 3,600 investors. They tell the stories that the mainstream media sidestep and offer a platform for the people living those stories. Their award-winning magazine, books and website set the agenda for a radically fairer future, promote global justice and campaign for the disadvantaged all over the world.","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Arts, Media, Culture & Leisure","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","","Yes","Yes","Please visit the Ethical Property website - http://www.ethicalproperty.co.uk/index.php/our-centres/oxford/the-old-music-hall - and look at their current tenants as I suspect there will be a number of them who should be included on the map.","147.68","57.41","","","","","","","","","","","38.45","","","","","","","51.82","","",""
"91","2019-05-09 12:58:56","3","en","2026977820","2019-05-09 12:56:54","2019-05-09 12:58:56","We Own It","The Old Music Hall","106-108 Cowley Road","","Oxford","OX4 1JE","","info@weownit.org.uk","01865 403251","https://weownit.org.uk/","https://www.facebook.com/WeOwnItCampaign","@We_OwnIt	","No","","No","","No","","No","","No","","No","","No","","Cat Hobbs","Email: info@weownit.org.uk / Phone: 01865403251","We Own It’s mission is to end privatisation for good so that people come before profit. We believe public services should belong to all of us - whether that's the NHS, schools, water, energy, rail, Royal Mail, care work or council services. Our work focuses on two things: campaigning against privatisation, and making the case for public ownership.  ","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","No","No","No","No","No","No","No","No","No","We collaborate with campaigns to protect specific services, like Keep Our NHS Public, the Anti-Academies Alliance, etc. We don't duplicate their work, but amplify it when we can. We're also part of the New Economy Organisers Network and have benefitted from their spokesperson network training, press officer training, and organisation building workshops.","Yes","Yes","","122.51","73.95","","","","","","","","","","","35.21","","","","","","","13.35","","",""
"92","2019-05-09 13:21:01","3","en","1772595143","2019-05-09 12:59:07","2019-05-09 13:21:01","Project SOUP","Oxford Hub","17 Turl Street","","Oxford","OX1 3DH","","projectsoupoxford@gmail.com","","https://projectsoupoxford.weebly.com/","https://www.facebook.com/projectsoupoxford/","@projectsoupoxf","No","","No","","No","","No","","No","","No","","No","","N/A","Email: projectsoupoxford@gmail.com","Since its inception in 2013, Project SOUP (Support Oxford's Upcoming Projects) has been committed to combatting local issues and being a driving force for change in the Oxford community. Project SOUP brings together the people behind new community project ideas and the people that want to help make them happen. Together they enable people to support local projects in an effective way via a simple, democratic vote over a delicious dinner, made from surplus food. 
They hold one soup-filling, heart-warming event per Oxford academic term. At each event, 3-4 local social action groups/charities are invited to speak about their work, ‘pitch’ an idea to try and persuade the audience for their vote. After all the votes have been counted, a winner is announced and all the money on the door and extra donations goes directly to them.","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","No","No","Yes","No","No","No","No","No","No","Informal: 
•	Amy Kaherl's Movement (Who started the SOUP Movement in Detroit) - part of an online group of people who share updates/ stories etc
•	UK SOUP organisers - we share updates/resources through this 
Formal:
•	Part of Community Action Groups Oxfordshire (CAG)
•	Part of the Oxford Hub","Yes","Yes","I will send this website and share it to other groups in Oxford. I will post it on our social media too.","1315.82","1176.44","","","","","","","","","","","124.45","","","","","","","14.93","","",""
"94","2019-05-09 13:24:57","3","en","353002127","2019-05-09 13:21:10","2019-05-09 13:24:57","Rose Hill Community Cupboard","Rose Hill Methodist Church","34 Singletree","Rose Hill","Oxford","OX4 4JP","","","","","","","No","","No","","No","","Yes","13:30 – 15:30","No","","No","","No","","N/A	","Email: billethebus70@yahoo.com","Rose Hill Community Cupboard provides food and essential items to people who need it the most. They help people by serving a cuppa and a snack and sending them home with a loaf and a nutritious bag of fresh fruit and veg. Visitors can chat, colour and play games while waiting to choose some groceries at the drop-in centre at Rose Hill Methodist Church one afternoon a week.","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Food","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","We are served by the Food Bank.","Yes","Yes","All Sorts playgroup","227.97","60.1","","","","","","","","","","","158.64","","","","","","","9.23","","",""
"95","2019-05-09 13:27:57","3","en","1551809146","2019-05-09 13:25:09","2019-05-09 13:27:57","Orinoco Scrapstore","Bullingdon Community Centre","Peat Moors","","Oxford","OX3 7HU","","oxorinoco@gmail.com","01865 761113","https://orinocoscrapstore.wordpress.com/","https://www.facebook.com/Oxorinoco/","","Yes","Closed","Yes","11:00 – 16:00","Yes","Closed","Yes","11:00 – 16:00","Yes","Closed","Yes","11:00 – 16:00","Yes","Closed","Emma Gordon","Email: emma@oxorinoco.org  / Phone: 01865 761113","Orinoco’s mission is to banish boredom and save the planet using creativity and play to inspire the reuse of materials. Over its 25 year history, Orinoco has saved lorry loads of interesting resources from ending up in landfill. Their Scrapstore in Headington sells scrap items for art, crafts, play and creative projects as well as new art materials, refurbished tools and DIY stuff. They collect suitable waste materials from businesses for potential reuse; accept usable garden and workshop tools; and hold a monthly ‘Swap Shop’ on the second Saturday of every month for usable household items people may no longer need or want. ","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Reduce, Reuse, Repair & Recycle","Yes","No","No","Yes","No","No","No","No","No","No","No","No","We were - Reuseful UK were a charity the manager a scrap store network. They dissolved last week! And are being replaced by a website www.scrapstorenetwork.co.uk. which may be useful.","Yes","Yes","","170.17","115.52","","","","","","","","","","","48.67","","","","","","","5.98","","",""
"96","2019-05-09 13:29:48","3","en","1681717698","2019-05-09 13:28:08","2019-05-09 13:29:48","Oxfordshire Asian Women's Voice","Rose Hill Community Centre","Carole’s Way","Rose Hill","Oxford	","OX4 4HF","","oxfordshireasianwomensvoice@gmail.com","","","","","No","","No","","No","","Yes","12:30 – 14:30","No","","No","","No","","N/A (From email provided: Shahzadi Sabeena ???)","Email: shahzadisabeena786@hotmail.com / Phone: 7865958040","Oxfordshire Asian Women's Voice was set up 7 months ago to provide support and advice to Asian women in their native language. We respond to the needs and requests from our members, providing support in a range of areas from learning new skills to accessing services and support against domestic violence.","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Health, Social Care & Wellbeing","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","","101.3","74.29","","","","","","","","","","","22.23","","","","","","","4.78","","",""
"98","2019-05-10 14:16:00","3","en","","2019-05-10 14:08:00","2019-05-10 14:16:00","Syrian Sisters","Rose Hill Community Centre","","","Oxford","OX4 4HF","","nuhaabdo83@hotmail.com","07426444685","","","","N/A","","N/A","","N/A","","N/A","","Yes","12:00 - 14:00","N/A","","N/A","","Nuha Abdo","nuhaabdo83@hotmail.com","Syrian Sisters is a regular support group for women from Syria and other Arabic-speaking countries. We meet every Friday at Rose Hill Community Centre. We run workshops and training on everything from learning English to Zumba classes. We also have activities for children during the holidays and host regular meals and celebrations. ","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Community & Collective Spaces","Yes","N/A","N/A","Yes","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","We often work with the Asian Women's Voices Group. The City Council is also an important support network for us. ","Yes","Yes","","483.55","97.15","","","","","","","","","","","376.03","","","","","","","10.37","","",""
