Contacted,Responded,Met,Name,Postcode,Lat/Long,Web,Tags,Contact Person,Email,Phone,Address,Notes from post it,Description from website
,,,The Newcastle Meditation Centre,NE1 1SG,,https://newcastlemeditation.com/,,,,,"71b, Westgate Rd, Newcastle upon Tyne ","accesible to all, very diverse","The Newcastle Meditation Centre is a non-profit social enterprise operating in Newcastle City Centre. We provide a safe, welcoming and ideologically neutral space, wholly dedicated to the learning and practice of mindfulness and meditation. We believe it is the first independent high street meditation centre of its kind in the UK. At the Centre you can attend drop-in classes, courses and workshops, together with a range of other activities, including research seminars, discussion groups and social events. Bespoke packages can also be arranged for groups and organisations. It is our goal to make the benefits of meditation accessible, affordable and available to all."
,,,Minimalists Newcastle,,,https://www.facebook.com/groups/1416047552017294/,,"Leigh Venus, Community Leader",leighvenus@gmail.com,,,"local meetup group 'living better with less', meet at Ernest","A group of like-minded people looking to live and talk about a more minimalist lifestyle, living intentionally and feeling better for it."
,,,My Sister's Place,TS1 3AN,,https://www.mysistersplace.org.uk/,,,hello@mysistersplace.co.uk,01642 241 864,"123 Borough Rd, Middlesbrough TS1 3AN",,"My Sisters Place is a specialist domestic abuse service based in central Middlesbrough. We support over a thousand women a year through a range of challenges, choices and decisions."
,,,National Glass Centre,SR6 0GL,,http://www.nationalglasscentre.com/,,,info@nationalglasscentre.com,,"Liberty Way, Sunderland SR6 0GL",using glass to offer workshops to community groups especially Creative Age around dementia,
,,,Needle Exchange,,,,,,,,Clayton Street,,
21/11/2018,,,Newcastle Food Co-op,,,http://nclfoodcoop.tumblr.com/about-us,,Joe Herbert,ncl.foodcoop@hotmail.co.uk,,Newcastle University,small student co-op selling food not-for-profit to students and the public,"Newcastle Food Co-op was set up by a group of students to provide ethical food and an alternative social hub. It isn’t exclusive to students, so everyone is welcome. The co-op is based in Newcastle Students’ Union (for now!). We are a non-hierarchical, not-for-profit store run by volunteers. This makes it cheap too! All of our members have an equal say in what we do, so everyone can put forward their ideas. We mainly sell wholefoods from Suma, but we’re looking into working an allotment to grow our own veg."
,,,Newcastle Volunteer Centre,NE1 6QE,,https://volunteercentrenewcastle.org.uk/,,karen.watson@volunteeringmatters.org.uk,karen.watson@volunteeringmatters.org.uk,07419 988821,"Commercial Union House 39 Pilgrim St, Newcastle upon Tyne ",,"We are commissioned by Newcastle City Council to promote, support and celebrate volunteering across the City. We do this by supporting people in identifying volunteer roles that match their skills and experience.  We provide infrastructure support to any group that needs help to recruit volunteers, we share experience and good practice and we are always on hand when a volunteering need may arise.  We enable communities and people to connect to allow the power of volunteers to impact the community in the most effective way possible. Our service is FREE to all."
21/11/2018 fb,3/12/2018,,North East Animal Save,,,https://www.facebook.com/northeastanimalsave/,,Alex Lockwood,alex.lockwood@sunderland.ac.uk,,,social justice/animal advocacy,"Mission: To bare witness to the animals sent to slaughter, to show compassion and kindness in their last moments. To raise public awarness. North East Animal Save is one of many save groups operating in cities across England, Scotland and Wales."
,,,Newcastle Frontrunners,,,,,,info@newcastlefrontrunners.co.uk,,,LGBT based running club,"Newcastle Frontrunners is a charity whose aims are: To promote equality and diversity by the elimination of discrimination in relation to LGBT people for the benefit of the public; The promotion of community participation in healthy recreation by providing facilities for athletes. Newcastle Frontrunners is a running club catering to the north-east of England, and based in Newcastle upon Tyne.  We are part of the International Frontrunners network, a family of running clubs which are inclusive and welcome all sections of the community, with an emphasis on the Lesbian, Gay, Bisexual and Transgender (LGBT) communities.  We provide training and activities whether you want to just lose a few pounds, improve your general health, or run the London Marathon. We also have a very active social calendar, and we eat a lot of cake."
,,,Open Clasp Theatre Company,NE4 6SQ,,https://www.openclasp.org.uk/,,,info@openclasp.org.uk,0191 272 4063,"The Stephenson Building, 173 Elswick Rd, Newcastle upon Tyne ",,"We are an award winning women’s theatre company and a leading force in the North of England with a national and international reach. We collaborate with women and young women on the margins of society to create bold and innovative theatre for personal, social and political change. We are unique in the way we work Our women-centred practice collaborates with women to draw out their collective voices and shine a light on their experiences. We create powerful professional theatre and perform to wide-ranging audiences. We encourage our audiences to walk in the shoes of the women and make space for debate."
,,,Our Gateshead,,,https://www.ourgateshead.org/,,(suggested by John Heywood) Mark Shilcock,info@ourgateshead.org.uk,0191 232 7445,,"website of voluntary organisations, lots published data","With news, events and regular activities posted by over 1000 groups and organisations working in Gateshead."
21/11/2018,email bb,,"Pedalling Hope, Nunsmoor Bike Garden",NE4 9EA,,,,Natalie Judson,peddallinghope@hotmail.com,07825 512556,"Nunsmoor Park, Newcastle upon Tyne ",,"Women’s cycling for wellbeing. Free learn to cycle sessions. Come along to this drop-in session running from 11am to 1pm, to find out about this new exciting project being run in the West End over the next six months. Sessions will be held regularly at the Bike Garden. The Bike Garden is a vibrant community space developed on the site of a previous bowling green in Nuns Moor Park, which now serves the community as a place to join in on regular food growing activities, place to hire for private and public events, that may be regular or one-offs, and much more. The Bike Garden offers access to a pavilion building, with access to hot water, indoor seating and toilet facilities. In addition, the open garden space is great to use for larger events with privacy from the rest of the park. "
,,,Permaculture mailing list,,,https://lists.ibiblio.org/mailman/listinfo/permaculture,,,,,,,"The permaculturelist website accompanies the Permaculture Mailing List at ibiblio, http://lists.ibiblio.org/mailman/listinfo/permaculture, and offers a small library of supplemental reading on Permaculture for its subscribers and the public-at-large."
21/11/2018,,,The Pickle Palace,NE40 4SW,,https://www.facebook.com/hannahspicklepalace/,,"Hannah, Michelle and Julie",thepicklepalace@outlook.com,07753 759476,"Lead Rd, Greenside, Ryton NE40 4SW",waste food markets,"The Pickle Palace, makers extraordinaire of chutneys, pickles and jams. A Social Enterprise that uses as much fruit and vegetables from locally sourced farm shops, allotments and supermarkets as we can rescue from landfill, all lovingly upcycled into absolutely fantastic products. With an ethos of joining communities together, wasting no food and helping others do the same, our very own pay as you feel market is now open every Wednesday 5.30pm at Chopwell Community Centre (Pay as you feel cafe from 4:30pm), Thursday 5.30pm at various venues, (please check posts for details) and Friday 11-2pm held in Greenside Cricket Club alongside a weekly lunch club. We offer this to the public allowing us to share all of the rescued food donated to us from supermarkets in return for a donation which will then be used to fund our enterprise, bringing more opportunities to our community. We also offer weekly lunch clubs on Friday from 12.30 at Greenside Cricket Club for only £4.00 for a home cooked 2 course meal- follow us to find out what we’re cooking each week!"
,,,Pont Valley Action Network,,,https://www.coalaction.org.uk/tag/campaign-to-protect-pont-valley,,,info@coalaction.org.uk,,,,The Coal Action Network fights coal developments by supporting and linking up residents resisting coal developments in the UK.
,,,Recyke Y' Bike,NE6 1JT; DH1 4SG,,http://recyke-y-bike.org/,,,,0191 265 4197,"2 Hannington St, Newcastle upon Tyne",bike recycling,"Recyke y’Bike is a charity. We’ve been around since 2006, and generate our own funds through refurbishing donated bikes which we then sell. This is a major part of our charitable objectives, and we provide a low-cost transport solution for thousands of people in the North East. It also raises the money to fund our other activities. We send around 500 bikes a year to development projects in Kenya and The Gambia. The bikes are used as part of microfinance programmes, encouraging local people to have a real stake in improving their futures. The bikes needed for this are more robust, basic models, which make it easier for people to maintain and source the spares for them. We also give away hundreds of bikes a year in the North East.  These go to schools, to community groups, individuals on very low incomes including refugees and asylum seekers. Asylum seekers get a very small amount to live on while their case is considered, yet in addition to feeding themselves with this, they also have other costs – typically they have to travel quite large local distances to register with local authorities, meet their case workers, etc. Some days it can mean making the choice between eating or buying the bus ticket to meet these appointments. A bike solves this, and we’re glad when we can help out like this."
21/11/2018,,,Redhills: Durham Miners Hall,DH1 4BE,,https://redhillsdurham.org/,,,admin@redhillsdurham.org,0191 3868413,"Flass St, Durham ","education and arts, working class culture","Redhills and its glorious council chamber (The Pitman’s Parliament) attracts more and more users every year. It is used as an important educational resource for schools; brass band performances, jazz and traditional music shows; lectures and meetings. Schoolchildren visit regularly to hear how the union men shaped their county. Volunteers are proud to relay that rich history to generations who have barely seen a piece of coal. But Redhills could provide even more for its community. That’s why we are asking the communities who currently use the building, and potential new user groups, to tell us what their future vision for the building might look like."
21/11/2018,,,Samosa Sisters,,,https://www.facebook.com/samosasisters/,,Sara,samosasisters@gmail.com,,,,A non profit catering project to raise funds for the relief of poverty (destitution fund) to help vulnerable women with ''NO recourse to public funds''
21/11/2018,email bb,,Scotswood Centre,NE15 6BY,,http://www.scotswoodcentre.org,,,info@scotswoodcentre.org,0191 274 2429,"468-474 Armstrong Road, Scotswood, Newcastle","time bank, cross generation","The Scotswood Centre offers opportunities for people to come together and socialise in a variety of ways, from informal training courses to traditional darts, dominoes and pool sessions. The centre has a workshop which provides a place for sharing DIY skills and working on ‘maker’ projects together. There is also a Timebank project, which means that participants will earn credits for contributing their skills and knowledge. Activities on offer include: Men’s Shed; Social Tuesdays – Bingo, games, arts & crafts; Toddler Group; Youth Activity Group. After 20 years of supporting people in the local community, which has gone through huge change, the organisation is itself undergoing a change of approach. We are now focused on developing the social capital within the community, helping people to help themselves and each other."
21/11/2018,,29/11/2018 phonecall,Scotswood Natural Community Garden,NE15 6TT,,https://sncg.org.uk/,,Sean Casey,office@sncg.org.uk,0191 200 4706,"John Marley Centre, Whickham View, Newcastle upon Tyne",Outdoor education work with young people with learning difficulties,"The garden works with nature to create a great place for people and wildlife to enjoy. The garden is about our community, whether in Scotswood and Benwell or the wider area, and we welcome people of all ages and backgrounds to get involved in our work. This can be as a visitor to the garden, as a member of our volunteer team, or as a participant in one of our events. We welcome you to visit and enjoy the fruits of our labours."
,,,Star & Shadow Cinema,NE2 1BB,,https://starandshadow.org.uk/,,,,,"Warwick St, Newcastle upon Tyne ",conversation room  for asylum seekers,"Star and Shadow Cinema is a volunteer-run DIY space for Newcastle, Tyne and Wear, and the north east UK. It is set up as an open-to-join co-operative housed in a building it owns, dedicated to culture coming from and/or programmed by the grass roots - particularly cinema and music."
21/11/2018,21/11/2018,11/12/2018,Stomping Grounds Forest School North East CIC,various,,https://stomping-grounds.org/,,Sophie ,forestschoolne@gmail.com,07950 118816,"Chopwell, Gateshead",for young people who don't engage with normal education.,"Forest School is an educational ethos which develops confidence, creativity and communication skills through long term participant led experiences outdoors. Forest school is a process, not a product which allows children and young people to take managed risks allowing participants to make their own decisions about what they want to learn, how and when. Forest school promotes self esteem, empathy and enjoyment. Stomping Grounds specialise in long term Forest School programmes, but also offer taster days and one off bushcraft and woodland workshops."
,,,Suma food groups,various,,,,,,,,informal,
21/11/2018,,,Summerhill Housing Co-op,NE4 6EB,,,,,hellosummerhillhousing@gmail.com,0191 261 8932,"6 Summerhill Terrace, Newcastle upon Tyne ",,"Summerhill Housing Co-operative is made up of two shared houses with 6 bedrooms each, both of which are on a beautiful street in central Newcastle."
,,,"Bike Life Newcastle, Sustrans",NE1 8AF,,https://www.sustrans.org.uk/bikelifenewcastle,,,,0191 261 6160,"Higham House, Higham Pl, Newcastle upon Tyne ",,"Inspired by the Copenhagen Bicycle Account, Bike Life is an assessment of city cycling development including infrastructure, travel behaviour, satisfaction, the impact of cycling, and new initiatives."
21/11/2018,,,The 4 C's (Climate Change Community Champions),NE10 0JP​,,,,(suggested by Ben Jones),the4Csne@gmail.com,07958 046058,"C/O RRF, Unit 9, Design Works, William Street, Felling, Gateshead",environmental food org,"the4Cs currently works with refugees, asylum seekers and other ‘hard to reach’ communities in North East England and currently comprises of committee members from different communities, backgrounds and areas of expertise. Currently our main project is 'organic growing'  where we empower participants with 100% organic vegetable growing methods. We also handout seeds and /or seedlings of Southern African vegetables to our communities to encourage and create a Get Growing Network. We strongly practice and support Permaculture Principles."
21/11/2018,23/11/2018,11/12/2018,The Blaydon Shed,NE21 5PT,,http://www.ourgateshead.org/blaydon-shed,,Fiona Teasdale,infoblaydonshed@gmail.com,,"Basement rooms St Cuthbert's Community Hall, Shibdon Road, Blaydon, Gateshead","part of men's shed movement, private councilling","The Blaydon Shed is a fun, relaxed space for all men over 18 to come and hang out, meet new friends, enjoy a cuppa and a chat, learn new skills, share their skills with others and do as much or as little as they please. We are open every Tuesday & Friday currently between 11am and 3pm and it's all free to join and join in. We have free Wi-fi and drinks & snacks too and comfy rooms to relax in, as well as a workshop with various tools and materials and a garden to enjoy or get your hands mucky in! You can join in with tackling jobs needed doing or do a project of your choosing..we have the facilities to do allsorts from woodworking to growing plants, renovating furniture and making things to recycling projects and much more. Whatever you decide to get involved with down there, the important thing is there is no stress, no pressure and no expectations - just come along and be yourself."
,,,The Journey,NE1 8AN,,https://www.facebook.com/TheJourneyNCL/,,,,07950 471151,"Higham House, New Bridge St W, Newcastle upon Tyne ",cycle cafe,Cycle cafe in Newcastle City Centre. Featuring Recyke'y'Bike sales and maintenance.
21/11/2018,,,The Millin Charity,NE4 9PQ,,http://www.themillincharity.co.uk/,,(suggested by Richard Chair),admin@themillincharity.co.uk,0191 272 5115,"The Beacon, Westgate Rd, Newcastle upon Tyne ",women and enterprise charity,"The Millin Charity has helped thousands of local people facing significant challenges, experiencing isolation or simply running out of options and not sure where to go next. By providing access to a support network of peers and services in the local community each person is able to find the help that best suits their own needs; through working together they have become socially and economically empowered, and able to make a much more active contribution to the local community."
,,,Ugly Duckling,,,https://www.facebook.com/UglyDucklingFoodWaste/,,,uglyduckling@projectbind.com,07444 966436,,,"Ugly Duckling is a grassroots community interest company which uses positive, creative approaches to reduce food waste and drive behaviour change. We turn surplus food into delicious juice, treats and scran at events and markets across the North East."
,,,Project Bind,,,http://www.projectbind.com/about,,,,,,,"Bind  uses positive, creative approaches to reduce food waste and drive behaviour change. We use collaboratory and participatory methods to engage the local community and change business practices. Bind CIC is Newcastle’s food waste innovation hub, focussing on preventing food waste at its source. Whilst food waste redistribution channels continue to improve in Newcastle and beyond, there remains a distinct lack of work in source prevention, despite this being the top priority in the food waste hierarchy. Bind acts both as a strategist, bringing together governing bodies and food handlers across the city to reduce food waste; and as a facilitator, supporting several projects working to educate and raise awareness on the issue."
,,,Urbanistas North East,NE2 1AP,,https://urbanistasuk.wordpress.com/urbanistas-north-east/,,,,,"10 Boyd St, Newcastle upon Tyne ",,"We are a women-led network amplifying the voices of women to make cities better for everyone. We are passionate about growing women’s leadership and capacity by providing a space where we can blend our personal passions and professional expertise to tackle issues and realise our ideas. We have chapters across the UK and in Australia.  Other professional networks for women exist, but we believe that it’s not enough to ‘network’ we need to empower each other to act. Urbanistas as a network doesn’t deliver projects but we provide the space for Urbanistas to pitch their ideas and to gather support through connections and knowledge from around the room. ‘Meet’ – pitching ideas and finding collaborators in a women only environment; meeting, networking and discussing amazing projects that are being led by women. ‘Think’ – debating issues that concern urbanistas and finding solutions together. ‘Collaborate’ – making connections between women to make things happen. ‘Empower’ – empowering and supporting each to realise our ideas for making life in cities better for everyone. Too often women are placed in the position of parking their personal values at the door of the office and becoming ‘the professional’. Urbanistas is a space that encourages women to draw on both personal values and professional know how to lead projects and debates that are important to them."
21/11/2018,22/11/2018,13/12/2018,We Are Our Media,,,https://www.weareourmedia.com/,,"Andrew Wilson, Jessie Jacobs",,,,The Eclipse newspaper,"We Are Our Media is a grassroots media collective, made up of individuals and groups from across the North East who believe in the need for a more grassroots, investigative and inclusive process for creating and sharing stories, ideas and news. We are a diverse group in gender, race, class and journalistic experience and aim to represent this diversity in all aspects of our activity."
,,,WEA North East,NE2 1QQ,,https://www.wea.org.uk/north-east,,,northeast@wea.org.uk,0191 2126100,"North East Regional Office, Joseph Cowen House, 21 Portland Terrace, Newcastle upon Tyne",,"The WEA in the North East was established as a voluntary organisation in 1910 and has provided part time courses for adults for over 100 years. Our courses are open to everyone over the age of 19. The WEA's vision is to achieve: ""A better world - equal democratic and just - through adult education the WEA challenges and inspires individuals, communities and society"". The WEA is a democratic organisation with a free membership. It is one of the country's largest registered charities. We take a learner-centred approach that is responsive to local needs and which contributes to high rates of success and retention. Nationally we provide around 12,000 part-time courses each year, reaching over 80,000 adults of all ages and educational backgrounds. We also have a special mission to help adults who are socially or economically disadvantaged."
,,,The Food Weighouse,NE1 5AW,,,,,,,"Grainger Market, Grainger Street, Newcastle","market stall, unpackaged food",
21/11/2018,23/11/2018,17/12/2018,West End Women and Girls Centre,NE4 6SQ,,http://westendwomenandgirls.co.uk/,,Hufty,info@westendwomenandgirls.co.uk,0191 273 4942,"173 Elswick Rd, Newcastle upon Tyne ","made in Elswick, community bakery, allotment, work with two communities bangladeshi and white working class bringing both together","West End Women and Girls Centre is a registered charity which has been working with women and girls in the West End of Newcastle since 1981. The Centre provides support through group work where the members have the opportunity to meet, have fun, learn skills, look at issues relevant their lives and generally build confidence in a safe and supportive environment. We also provide individual support offering advice, information, advocacy and referrals to relevant agencies."
21/11/2018 fb,,,Zero Waste North East,,,https://www.facebook.com/groups/658990024490942/,,"Hannah Wotherspoon, Sarah Jamieson",,,,,"Dedicated to the process of leading a zero waste life in Newcastle, Gateshead and the surrounding areas. From handy tips and hacks, to useful articles, repurposing, recycling, recipes and gardening help we're all here to help."
,,,school uniform sharing programme,,,,,Martine Horner/Morner,,,South Shields,school uniform sharing program,
,,,Durham Local Food,,,http://www.durhamlocalfood.org.uk,,(suggested by Alice Highet),,,,,
21/11/2018,,,Handcrafted,DH7 8HG,,http://handcrafted.org.uk,,(suggested by Alice Highet),info@handcrafted.org.uk,0191 378 1562,"Unit 7, Skillion Business Centre, Littleburn Industrial Estate, Langley Moor",,"Handcrafted is born out of a desire to see people who are disadvantaged due to crime, alcohol or substance abuse, unemployment, ill health or old age making a positive step and becoming active members of the community again. We provide tailored training opportunities to enable every individual to acheive their goals. We help disadvantaged people find their ideal job or start their own enterprises. We provide housing across the Region and support our residents to make their living space a home  they can be proud of. We bring people excluded from society into a creative community. We also serve people in need in the Northeast by providing affordable goods, repairs and services. This is a Christian project operating out of values of love, restoration and community. We have a committed team of staff and volunteers working to provide a supportive, welcoming environment to encourage people to gain skills, training and experience through our enterprising projects and work placements. Our shoulder to shoulder approach builds a strong team where all members work together resulting in innovative solutions to problems encountered on an individual and group level."
21/11/2018,,,Empty Shop,DH1 4SJ,,https://emptyshop.org,,(suggested by Alice Highet),thefolks@emptyshop.org,,"35c Framwellgate Bridge, Durham",,Empty Shop CIC is a non profit arts organisation in the North East of England and based in Durham City. We formed in 2008 with the idea to provide a much needed and accessible platform for artists of all levels and backgrounds to produce exhibit and engage with art. As the organisation has grown we have developed into well rounded permanent fixture in the North East art scene. Today Empty Shop still provides those opportunities and resources that were so few and important back then but our reach now also expands into a whole cross section of areas and expertise. Empty Shop was founded by Carlo Viglianisi and Nick Malyan in 2008 and chooses to be completely unfunded and fully independent.
21/11/2018,,,Pottery Bank Community Centre,NE6 3SW,,http://www.potterybankcc.co.uk/,,Jacqui Higgins (suggested by Alice Highet),info@potterybankcc.co.uk,0191 2242349,"Yelverton Crescent, Newcastle upon Tyne, Tyne and Wear",,Pottery Bank Community Centre Ltd (formerly Thomas Gaughan Community Association) aim is to bring people together to remind us all of the community spirit here in Pottery Bank. Pottery Bank Community Allotment is open to the local community in and around Walker. Come along by yourself or in a group to learn how to plant and grow tasty produce. We have formal courses or you can pop along as a volunteer to pick up the basics. Walker Women is a three-year project to help local women develop their skills and confidence to build a better future.
,,,Shieldfield Forum Cafe,NE2 1XU,,https://www.facebook.com/Shieldfield-Forum-Cafe-1628365020750837/,,Elizabeth Wilson-Halliday and Jill Holder,wilsonmacthedog@blueyonder.co.uk; jillholder@live.co.uk ,,"26 Wretham Pl, Newcastle upon Tyne ",,
,,,Add projects from pilot map,,,,,,,,,,
,,,The People’s Assembly Against Austerity,,,https://peoplesassemblytyneandwear.wordpress.com,,Martin and Ed; Alex Snowdon,martin@levytyneside.eclipse.co.uk; ed.whitby@workersliberty.org; alexsnowdonedu@hotmail.com,,,,"The Peoples Assembly Against Austerity (PAAA) is a non-party political movement formed to fight all government spending cuts nationally, regionally and locally in the UK.  The assembly will provide a national forum for anti-austerity views which, while increasingly popular, are barely represented in parliament. A People’s Assembly can play a key role in ensuring that this uncaring government faces a movement of opposition broad enough and powerful enough to generate successful co-ordinated action, including strike action. The assembly will be ready to support co-ordinated industrial action and national demonstrations against austerity, if possible synchronising with mobilisations across Europe."
,,,Crisis,NE1 2AF,,https://www.crisis.org.uk/get-help/newcastle/,,Nikki Booth and Andrew Burnip,nikki.booth@crisis.org.uk; andrew.burnip@crisis.org.uk,,"City House, 1-3 City Rd, Newcastle upon Tyne ",,"Homeless charity and support, offering education, training and advice in our centre in Newcastle."
,,,Changing Lives,NE11 0RU,,http://www.changing-lives.org.uk,,Stephen Bell; Alex Laing; Becky Elton,stephen.bell@changing-lives.org.uk; Alex.Laing@changing-lives.org.uk; becky.elton@changing-lives.org.uk,,"Unit D13, Marquis Court, 10th Avenue West, Team Valley, Gateshead",,"Changing Lives support people to make positive, lasting changes in their lives. Work with people experiencing homelessness, addiction and a range of other problems by reaching out in to our communities. We offer specialist support services for women and families and provide employment opportunities for our clients, all supported by our successful social enterprises."
,,,Homelessness Services NCL,,,,,Neil Munslow,neil.munslow@newcastle.gov.uk,,,,
,,,North East Organic Growers Ltd,NE22 7AD,,https://www.neog.org.uk/,,Phil Tyler,ptyl@onetel.com; info@neog.org.uk,01670 821070,"West Sleekburn Farm, Bomarsund, Bedlington ",,"We're a worker's co-operative based in the village of Bomarsund, near Bedlington, twelve miles north of Newcastle upon Tyne. Existing since 1995, we grow organic vegetables on our twelve acre site, and run a ""box scheme"", which is a cost-effective way of buying organically-certified seasonal vegetables and fruit on a regular basis. Our box scheme supplies customers throughout the North-East of England."
,,,Permaculture Network,,,https://www.permaculture.org.uk,,,ne-permaculture-net@googlegroups.com,,,,"We support our members and others in the permaculture network to design thriving communities across Britain by applying permaculture ethics and principles, and to contribute to permaculture worldwide.Whether you are involved in gardening, farming, planning, building homes, economic regeneration, or business, using permaculture design empowers you to make the right choices for a sustainable future. By putting ethics first and using natural systems as a model, there are simple and innovative ways to live fairly and sustainably now and in the future."
,,,Local Food Network,,,,,Ruth Hayward (Freelance environmental researcher & organiser),ruthehayward@hotmail.com,,,Ruth now working for WEA Green Bank,
,,,Newcastle City Council allotments,,,,,Mark Todd (Allotments Officer),,,,,
,,,The Environment Agency,,,https://www.gov.uk/government/organisations/environment-agency,,Conrad,,,,,
,,,SCAN,,,,,Rupert Wood,rupertswood.union@ncl.ac.uk,,,,"SCAN stands for Student Community Action Newcastle and since the 1960s we’ve been based in the centre of Newcastle helping students and other young people access volunteering opportunities across the North East. SCAN today is a vibrant and lively young person led charity based at Newcastle University that aims to provide a wide variety of quality volunteering opportunities, we currently offer over 200 volunteering opportunities as well as running a successful programme of young person led projects, and one-off/taster volunteering opportunities."
,,,Scotchy Space Pigeons,NE15 6BY,,,,Lisa,ask Aaron,,"Scotswood Centre, 468-474 Armstrong Road, Scotswood, Newcastle upon Tyne ","Worked with Aaron and Robert on minecraft, reimaginging Scotswood project",Youth group who meet and learn at Scotswood community centre. 
,,,Space2,NE1 6QE,,http://newcastleymca.com/facilities/space2/,,,space2@ymcanewcastle.com,0191 2602923,"37 Pilgrim St, Newcastle upon Tyne ",,"Youth project in Newcastle (Pilgrim St) who support 13-21 yr old with skills, employment education, housing etc."
,,,Streetwise Opera,,,http://streetwiseopera.org,,,ff@streetwiseopera.org,,,,"Streetwise Opera is an award-winning charity that uses music to help people make positive changes in their lives. Working with people who have experienced homelessness and other members of the community, we run workshop programmes across England and stage critically-acclaimed operas. Streetwise Opera has a vibrant programme in Newcastle and Gateshead, with two weekly workshop programmes and regular performances in the area. We work in partnership with The Sage Gateshead, where our Explore Singing and Acting group is based, and many of our performers do work placements at the venue."
,,,North East Refugee Society,NE1 4XA,,http://www.refugee.org.uk,,,newcastle@refugee.org.uk,0191 245 7301,"2 Friars Street, Newcastle upon Tyne ",,"The North of England Refugee Service (NERS) believes that refugees in general receive an unfairly negative press and also that the whole issue of asylum seekers in the UK has been confused by the media and politicians irresponsible use of terms like ‘bogus’ and ‘economic migrants’, which have served to blur the definitions between genuine asylum seekers and illegal immigrants."
,,,West End Refugee Service,NE4 5JE,,http://www.wers.org.uk,,Lindsay (Project Director),info@wers.org.uk,0191 273 7482,"St Philip’s Vicarage, St Philip’s Close, Arthur’s Hill, Newcastle upon Tyne ",,"West End Refugee Service (WERS) is a registered charity which provides support services for asylum seekers and refugees in a friendly, welcoming environment. The range of integrated services aims to address the disadvantage, exclusion and poverty which affect asylum seekers and refugees living in the West End of Newcastle upon Tyne."
,,,She Choir,NE4 5NU,,http://shechoir.com/newcastle/,,,online form,,"The Bike Garden, Studley Terrace, Newcastle upon Tyne ",,"A community choir for women, anyone who identifies as a woman, or anyone who identifies as gender fluid/gender queer. All ages welcome, (including little ‘uns) and no previous singing/choir experience required."
,,,Time Exchange NCL,NE4 5LJ,,https://thetimeexchange.org/,,,info@thetimeexchange.org,0191 245 0663; 0191 245 3814; 0191 245 0056,"235 Stanton Street, Arthurs Hill, Newcastle upon Tyne ",,"The Time Exchange is a community based time banking initiative and drop-in centre based in Arthur’s Hill, Newcastle. Local residents exchange time and skills with each other. Members voluntarily carry out work for each other and earn ‘time credits’ in return. These credits can be exchanged for other member services."
,,,SPACE for Heaton,NE2 1BP,,http://www.spaceforheaton.com,,,contact@spaceforheaton.com,,"2 Maling Court, Union Street, Newcastle upon Tyne, Tyne and Wear ",,"SPACE for Heaton is a community movement created by a group of residents that would like Heaton to be a safe, pleasant and enjoyable space for people of all ages and abilities to live in and move around."
,,,Newcastle Womens Aid,NE1 8XS,,http://www.newcastlewomensaid.org.uk/,,,office@newcastlewomensaid.org.uk,0800 923 2622; 0191 261 0504,"3rd Floor, Mea House, Ellison Place, Newcastle upon Tyne NE1 8XS",,"Since 1975, Newcastle Women's Aid have provided a range of specialist domestic abuse services which included: Refuge accommodation, Outreach support, Children and Young People’s support."
,,,Gateshead Womens' Refuge,,,https://www.homegroup.org.uk/,,,,0191 477 9309,,,
,,,Freedom Programme,,,http://www.freedomprogramme.co.uk/,,Francesca (contact at Building Futures),info@freedomprogramme.co.uk,01547 520 228; 0191 263 2752,"Building Futures East Tyneside, Walker, Newcastle",,"Freedom Programme is a domestic violence programme primarily designed for women as victims of domestic violence, since research shows that in the vast majority of cases of serious abuse are male on female. However, the programme, when provided as an intensive two day course, is also suitable for men, whether abusive and wishing to change their attitudes and behaviour or whether victims of same sex domestic abuse themselves. The Freedom Programme examines the roles played by attitudes and beliefs on the actions of abusive men and the responses of victims and survivors. The aim is to help them to make sense of and understand what has happened to them, instead of the whole experience just feeling like a horrible mess. The Freedom Programme also describes in detail how children are affected by being exposed to this kind of abuse and very importantly how their lives are improved when the abuse is removed. The programme usually lasts for 11 or 12 weeks and is FREE. It provided by hundreds of agencies across the UK. Some of them are rolling so women can join at any time but this varies according to local needs, etc."
,,,Newcastle City of Sanctuary,,,https://newcastle.cityofsanctuary.org,,,info@newcastle.cityofsanctuary.org,,,,"Newcastle upon Tyne is proud to be a welcoming city where people have historically sought sanctuary for many years. In more recent times, Newcastle was selected as a dispersal area for asylum seekers. Agencies within the city responded through developing projects, networks, and awareness raising initiatives. We are thrilled that, through the work of these projects, many people with leave to remain choose to stay in the city. City of Sanctuary UK holds the vision that our nations will be welcoming places of safety for all and proud to offer sanctuary to people fleeing violence and persecution. In order to realise this vision, City of Sanctuary UK supports a network of groups, which includes villages, towns, cities and regions across the UK, and others engaged in Streams of Sanctuary, Sanctuary Awards and activities intended to welcome people seeking sanctuary."
,,,Sisters Uncut,,,https://www.facebook.com/sistersuncutncl/,,,,,,,
,,,Allerdene Social Club,NE9 6NF,,https://www.facebook.com/pages/A1-Allerdene-Social-Club/116206085134191,,Dave Kane (Club Steward),davefbolburn@yahoo.co.uk,0191- 4822780,"Trafford, Gateshead ",,"To encourage local community groups in and around the Allerdene and Harlow Green Estates to organize Community Meetings/Social Evenings/ Charity Events, Evenings/Sports Events etc."
