Identifier,Name,Description,Legal Forms,Street Address,Locality,Region,Postcode,Country Name,Website,Companies House Number,IgnoredLat,IgnoredLong,Geo Container,Latitude,Longitide
futures,Co-operative Futures,,Cooperative,,,,GL1 4DF,,https://futures.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/GL14DF,51.858155,-2.230636
gcda,Greenwich Cooperative Development Agency,,Cooperative,,,,SE10 9QF,,https://gcda.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE109QF,51.478501,-0.016996
gildedsplinters,Gildedsplinters,,Cooperative,,,,PE34 3AY,,http://gildedsplinters.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PE343AY,52.682219,0.359796
gingergiraffe,Ginger Giraffe Collective,,Cooperative,,,,W12 9EY,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/W129EY,51.505450,-0.240025
glamorgan,Jonathan Bishop Limited,,Cooperative,,,,SA19NN,,http://glamorgan.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA19NN,51.647984,-3.923586
gloscommunityenergy,Gloucestershire Community Energy Co-op,,Cooperative,,,,GL6 9AS,,http://www.gloscommunityenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/GL69AS,51.702139,-2.181004
goulash,Goulash Co-operative Limited,,Cooperative,,,,CV3 2AB,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CV32AB,52.412078,-1.409101
gowerpower,Gower Power Community Cooperative,,Cooperative,,,,sa32ep,,http://www.gowerpower.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA32EP,51.580750,-4.101151
grandunion,Grand Union Housing Co-operative,,Cooperative,,,,E2 9HL,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E29HL,51.533348,-0.051929
graphics,The Graphics Company Ltd,,Cooperative,,,,EH7 4LS,,https://graphics.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EH74LS,55.960648,-3.182762
greatglen,The Great Glen Energy Co-operative,,Cooperative,,,,LA14 2PN,,http://www.greatglen.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
greencity,GreenCity Wholefoods,,Cooperative,,,,G31 1PQ,,https://www.greencity.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/G311PQ,55.857498,-4.207194
greenfoxcommunityenergy,Green Fox Community Energy,,Cooperative,,,,LE3 0HD,,https://greenfoxcommunityenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LE30HD,52.626902,-1.157543
greenshootsdaynursery,Green Shoots Day Nursery,,Cooperative,,,,E1 1LX,,http://greenshootsdaynursery.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E11LX,51.513155,-0.066885
grin,GRIN SW LLP,,Cooperative,,,,EX16 6WY,,http://grin.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EX166WY,50.912910,-3.476862
gritstone,Gritstone Publishing Co-operative,,Cooperative,,,,HX7 6HJ,,https://www.gritstone.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HX76HJ,53.740587,-2.017671
hampshire-energy,Hampshire Energy Services,,Cooperative,,,,RG21 4HG,,http://hampshire-energy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/RG214HG,51.267892,-1.077497
harlowsave,Harlowsave Credit Union,,Cooperative,,,,CM20 1HA,,http://harlowsave.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CM201HA,51.768741,0.094561
haywoodacademy,Haywood Academy,,Cooperative,,,,ST6 7AB,,http://www.haywoodacademy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/ST67AB,53.055312,-2.189123
hcd,Hackney Co-operative Developments,,Cooperative,,,,E8 3DY,,http://www.hced.co.uk/home,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E83DY,51.544684,-0.074030
heartofengland,Heart of England Co operative Society,,Cooperative,,,,CV115BU,,https://www.heartofengland.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CV115BU,52.523021,-1.471020
hfholidays,HF Holidays,,Cooperative,,,,WD6 3SY,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WD63SY,51.638376,-0.306766
highwinds,High Winds Co-op,,Cooperative,,,,LA14 2PN,,https://www.highwinds.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
hive,The Co-operative Academy of Manchester,,Cooperative,,,,SE13SD,,http://www.hive.coop/,,,,,,
hometruths,Hometruths Co-operative Limited,,Cooperative,,,,SN10 5QA,,http://hometruths.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SN105QA,51.322534,-2.008575
humane,Humane Limited,,Cooperative,,,,SW15 4PF,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SW154PF,51.452709,-0.252057
humanfood,Human Food,,Cooperative,,,,SA708AB,,https://humanfood.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA708AB,51.675308,-4.703611
icmif,ICMIF,,Cooperative,,,,WA14 4PD,,,,,,,,
inca,Independent Networks Co-operative Association,,Cooperative,,,,SK4 3GN,,https://www.inca.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SK43GN,53.406879,-2.202263
infinityfoods,Infinity Foods Co-operative Ltd,,Cooperative,,,,BN43 6PB,,http://infinityfoods.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN436PB,50.833579,-0.260746
innovate,The Phone Co-op Foundation for Co-operative Innovation Limited,,Cooperative,,,,OX7 5EX,,http://innovate.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX75EX,51.937209,-1.547870
inspiringchange,Inspiring Change,,Cooperative,,,,WD4 8BX,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WD48BX,51.718670,-0.452446
jazz,Pink Lane Jazz Coop,,Cooperative,,,,NE2 3LN,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NE23LN,54.996493,-1.612011
johncurwen,The John Curwen Co-operative Primary Academy,,Cooperative,,,,WF16 9BB,,http://www.johncurwen.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WF169BB,53.720697,-1.668182
joomo,JooMo Ltd.,,Cooperative,,,,RG1 5SB,,https://www.joomo.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/RG15SB,51.450938,-0.947891
jubilee,Jubilee Community Benefit Society,,Cooperative,,,,BT40 1DT,,https://www.jubilee.coop/,,,,,,
just,Just Cooperate Limited,,Cooperative,,,,GL20 5TZ,,http://www.just.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/GL205TZ,51.984068,-2.162701
justfilm,Birmingham Co-operative Film Society,,Cooperative,,,,B68 8DT,,http://www.justfilm.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B688DT,52.476708,-2.005271
keepit,the Co-operative Party,,Cooperative,,,,SE1 3SD,,,,,,,,
kilbraur,Kilbraur Wind Energy Co-operative,,Cooperative,,,,LA14 2PN,,http://www.kilbraur.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
labcommunityenergy,Labcommunityenergy,,Cooperative,,,,LA14 2PN,,http://labcommunityenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
ldn,Co-operatives London,,Cooperative,,,,E1 5NF,,https://ldn.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E15NF,51.517779,-0.066978
learners,The Learners Co-operative Ltd,,Cooperative,,,,PL4 6YP,,,,,,,,
leda,LEDA Ltd.,,Cooperative,,,,LS9 0DG,,https://www.leda.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS90DG,53.788288,-1.519569
ledaarchitects,Leeds Environmental Design Associates Ltd,,Cooperative,,,,LE1 6QL,,https://www.ledaarchitects.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LE16QL,52.632354,-1.131950
leedsbread,Leeds Community Bakery,,Cooperative,,,,LS7 2AW,,https://leedsbread.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS72AW,53.812752,-1.542131
lilac,Lilac Ltd.,,Cooperative,,,,LS5 3AG,,http://www.lilac.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS53AG,53.812478,-1.612466
lincolnshire,Lincolnshire Co-operative Ltd,,Cooperative,,,,LN5 7DB,,https://www.lincolnshire.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LN57DB,53.225042,-0.541291
lincolnshirecda,Lincolnshire CDA,,Cooperative,,,,LN57DB,,http://cdl.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LN57DB,53.225042,-0.541291
link,Link Psychology Cooperative Limited,,Cooperative,,,,PR2 6XX,,https://www.link.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PR26XX,53.781313,-2.675653
lipsonco-operativeacademy,Lipson The Co-operative Academy,,Cooperative,,,,PL4 7PG,,https://lipsonco-operativeacademy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PL47PG,50.381718,-4.110510
lister,Lister Housing Co operative Limited,,Cooperative,,,,EH3 9EZ,,http://lister.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EH39EZ,55.945129,-3.196812
loanfund,ICOF Limited,,Cooperative,,,,BS2 8PE,,https://loanfund.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS28PE,51.460451,-2.587288
londonfashion,London Fashion Coop,,Cooperative,,,,NW6 6HY,,http://londonfashion.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NW66HY,51.537472,-0.193311
londonstudent,London Student,,Cooperative,,,,WC1E 6EQ,,http://londonstudent.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WC1E6EQ,51.522467,-0.132080
loop,Loop.Coop,,Cooperative,,,,BN3 1JW,,http://loop.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN31JW,50.827162,-0.161886
lordshiphub,Jacobsberg,,Cooperative,,,,N17 6HA,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/N176HA,51.597449,-0.078209
lothianbroadband,Lothian Broadband Limited,,Cooperative,,,,EH41 4LE,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EH414LE,55.949159,-2.723520
mach,The Machynlleth Housing Cooperative Ltd.,,Cooperative,,,,SY208BQ,,http://mach.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SY208BQ,52.592554,-3.853990
magpie,Magpie Recycling Co op,,Cooperative,,,,BN2 4AY,,http://magpie.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN24AY,50.840541,-0.124402
maidenergy,MaidEnergy,,Cooperative,,,,SL6 4PF,,http://www.maidenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SL64PF,51.515108,-0.744450
malvernbook,Malvern Book Co-operative,,Cooperative,,,,WR14 4RG,,http://malvernbook.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WR144RG,52.111921,-2.331403
manufacturing,Cranfield University,,Cooperative,,,,MK43 0AL,,http://www.manufacturing.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/MK430AL,52.073918,-0.628755
mbm,mbm co-operative services,,Cooperative,,,,SE100FF,,http://mbm.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE100FF,51.487021,0.000759
mc3,Mitchell Coxan Creative Communications LLP (MC3),,Cooperative,,,,HD7 5XD,,http://mc3.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HD75XD,53.622325,-1.898954
mediablazehosts,MediaBlaze Hosting Limited,,Cooperative,,,,TN27 0JA,,http://mediablazehosts.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TN270JA,51.208748,0.792089
mica,Mica DIY Ltd,,Cooperative,,,,ST15 8LQ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/ST158LQ,52.909129,-2.158137
midcounties,Midcounties Cooperative,,Cooperative,,,,CV34 6DA,,https://www.midcounties.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CV346DA,52.274097,-1.567345
mim,Made in Morocco Coop LTD,,Cooperative,,,,BS32 8AX,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS328AX,51.525237,-2.543985
mongooseenergy,Mongoose Energy,,Cooperative,,,,SN13 9TZ,,https://mongooseenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SN139TZ,51.415943,-2.203611
naco,National Association of Co-operative Officials,,Cooperative,,,,SK14 2QZ,,http://naco.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SK142QZ,53.451411,-2.076516
naturalfoodstore,Natural Food Store Limited,,Cooperative,,,,LS6 3AD,,https://www.naturalfoodstore.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS63AD,53.817990,-1.576006
netuxo,Netuxo Ltd,,Cooperative,,,,N1 6AH,,https://netuxo.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/N16AH,51.528518,-0.087932
networks,Cooperative Networks,,Cooperative,,,,HD7 5XD,,http://networks.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HD75XD,53.622325,-1.898954
newera,New Era Enterprises (E.Lancs) Ltd,,Cooperative,,,,BB11 3BT,,http://newera.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BB113BT,53.789073,-2.234487
newharmonypress,New Harmony Press Limited,,Cooperative,,,,LE1 6WT,,http://www.newharmonypress.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LE16WT,52.627183,-1.129334
news,Co-operative Press,,Cooperative,,,,M600AS,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AS,53.486430,-2.239353
nfpc,NFPC,,Cooperative,,,,NE7 7ST,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NE77ST,55.006233,-1.581898
nightingale,Nightingale Primary Academy,,Cooperative,,,,LS8 5HS,,http://www.nightingale.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS85HS,53.812779,-1.517026
norwichcommunitysolar,Norwich Community Solar,,Cooperative,,,,NR3 4TL,,http://www.norwichcommunitysolar.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NR34TL,52.643836,1.302594
norwichmustard,Norwich Mustard,,Cooperative,,,,NR18 9SS,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NR189SS,52.538174,1.065239
oakwood,Oakwood Primary Academy,,Cooperative,,,,LS8 3LZ,,https://oakwood.coopacademies.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LS83LZ,53.813198,-1.500710
oastwood,Oast Wood Housing Co-operative Limited,,Cooperative,,,,SE1 4YR,,https://www.oastwood.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE14YR,51.499869,-0.092964
ocu/1,Oxfordshire Credit Union,,Cooperative,,,,BS5 0HE,,http://oxfordshirecreditunion.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS50HE,51.462095,-2.567517
ocu/2,Oxfordshire Credit Union,,Cooperative,,,,UB3 1PE,,http://oxfordshirecreditunion.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/UB31PE,51.497473,-0.437373
olan,Olan Housing Co-operative Limited,,Cooperative,,,,SE4 1HP,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE41HP,51.453519,-0.027651
oneblackpool,One Blackpool Ltd,,Cooperative,,,,FY4 1SH,,https://www.oneblackpool.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/FY41SH,53.778576,-3.052867
oneplanet,One Planet (Accrington) Ltd,,Cooperative,,,,BB5 1EE,,http://oneplanet.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BB51EE,53.751726,-2.361818
opendataservices,Open Data Services Co-operative Limited,,Cooperative,,,,BN3 2FN,,http://opendataservices.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN32FN,50.827153,-0.167566
openspace,Ecobee Ltd,,Cooperative,,,,M16 8GB,,https://www.openspace.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M168GB,53.451140,-2.261772
orchard,Orchard Community Energy Ltd.,,Cooperative,,,,SN13 9TZ,,http://orchard.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SN139TZ,51.415943,-2.203611
ourtrust,OUR Co-operative Academy Trust,,Cooperative,,,,GL4 0RT,,http://ourtrust.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/GL40RT,51.828768,-2.262802
outlandish,Outlandish Co-operative,,Cooperative,,,,CR2 6QA,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CR26QA,51.346589,-0.104619
p4c,P4C.com Limited,,Cooperative,,,,DE23 6JG,,https://p4c.com/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/DE236JG,52.900259,-1.494418
parallaxphotographic,Parallax Photographic,,Cooperative,,,,SW9 8LA,,https://parallaxphotographic.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SW98LA,51.461819,-0.113985
party,The Co operative Party,,Cooperative,,,,BB1 5RR,,https://party.coop/,,,,,,
partyni,The CG NI Co-op Party,,Cooperative,,,,BT66 6AJ,,https://www.partyni.coop/,,,,,,
peloton,Peloton Liverpool,,Cooperative,,,,L13 9AF,,http://peloton.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/L139AF,53.428107,-2.930509
penrith,Penrith Co-operative Society,,Cooperative,,,,CA11 7TD,,,,,,,,
pfg,Power for Good Cooperative Ltd,,Cooperative,,,,B73 6LD,,http://powerforgood.btck.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B736LD,52.553863,-1.836215
pioneerawards,The Cooperative Group Food Limited,,Cooperative,,,,M15 4FN,,http://pioneerawards.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M154FN,53.472915,-2.246614
pioneercu,Pioneer Mutual Credit Union Ltd.,,Cooperative,,,,G78 1SG,,https://www.pioneercu.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/G781SG,55.800324,-4.390498
platform6,Mitchell Coxan Creative Communications LLP,,Cooperative,,,,HD7 5JN,,https://platform6.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HD75JN,53.622505,-1.879980
plymouth,Co-operative Party (Plymouth branch),,Cooperative,,,,PL1 2AQ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PL12AQ,50.368000,-4.140121
populate,Populate Co-operative,,Cooperative,,,,OX4 1PY,,https://populatecoop.wordpress.com/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX41PY,51.745084,-1.235585
positivenews,Positive News Limited,,Cooperative,,,,EC1V 1NQ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EC1V1NQ,51.532222,-0.105079
preciouskids,Precious Kids Day Nursery,,Cooperative,,,,E1 5HZ,,http://preciouskids.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E15HZ,51.519881,-0.066860
principle5,Principle 5 (Yorkshire Co-operative Resource Centre) Limited,,Cooperative,,,,S3 8GG,,https://www.principle5.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/S38GG,53.387518,-1.465392
principlesix,Principle Six LLP,,Cooperative,,,,E2 9DT,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E29DT,51.532754,-0.059466
publicaffairs,Public Affairs Co-operative Ltd,,Cooperative,,,,PH2 8AH,,http://publicaffairs.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH28AH,56.392256,-3.429466
r-eco,The Renewable Energy Co-operative,,Cooperative,,,,TR4 8RJ,,http://r-eco.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TR48RJ,50.231249,-5.138815
radstock,Radstock Cooperative Society,,Cooperative,,,,BA3 3RQ,,http://www.radstockcoop.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33RQ,51.292209,-2.448525
rch,Redditch Co-operative Homes,,Cooperative,,,,B97 6HD,,https://rch.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B976HD,52.306397,-1.947699
readingenergy,Reading Community Energy,,Cooperative,,,,LA14 2PN,,https://readingenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
regather,Regather Co-Operative Limited,,Cooperative,,,,S11 8BU,,https://regather.net/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/S118BU,53.370346,-1.478742
revolver,Revolver Co-operative Ltd,,Cooperative,,,,WV2 3JA,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WV23JA,52.567880,-2.133210
rhizome,Rhizome Ltd.,,Cooperative,,,,LE2 1TJ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LE21TJ,52.617042,-1.118280
riceup,Riceup Wholefoods Limited,,Cooperative,,,,SO14 1JX,,http://www.riceup.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SO141JX,50.902836,-1.401751
ricol,Ricol,,Cooperative,,,,N3 3HN,,http://ricol.coop/wp/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/N33HN,51.597452,-0.197458
righttobuy,Right to Buy Co-op Ltd.,,Cooperative,,,,BB6 8AY,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BB68AY,53.824068,-2.452632
righttobuyhelpline,Righttobuyhelpline.coop Ltd,,Cooperative,,,,M40 3LY,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M403LY,53.518845,-2.169556
rochdalepioneersmuseum,Rochdale Pioneers Museum,,Cooperative,,,,OL12 0NU,,https://www.rochdalepioneersmuseum.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OL120NU,53.619780,-2.159772
rumblingbridgehydro,Rumbling Bridge Community Hydro Society Ltd.,,Cooperative,,,,LA14 2PN,,https://rumblingbridgehydro.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
saos,Scottish Agricultural Organisation Society Ltd,,Cooperative,,,,EH28 8NZ,,http://www.saos.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EH288NZ,55.940109,-3.377924
sat,Sundorne School & The Grange School Cooperative Trust,,Cooperative,,,,SY1 4LL,,http://sat.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SY14LL,52.731624,-2.723561
saveourbank,ECRA,,Cooperative,,,,M15 5RF,,https://saveourbank.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M155RF,53.465469,-2.248348
savetheearth,Save The Earth Cooperative,,Cooperative,,,,NG35JU,,https://savetheearth.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NG35JU,52.985321,-1.120246
scbc,South Acton Community Builders Co-operative Ltd,,Cooperative,,,,W3 8RT,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/W38RT,51.504667,-0.273859
scotmid,Scottish Midland Co-operative Society Ltd,,Cooperative,,,,EH28 8QJ,,https://www.scotmid.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EH288QJ,55.935633,-3.395583
scottishfarmcarbon,Scottish Farm Carbon Limited,,Cooperative,,,,AB54 4XR,,http://scottishfarmcarbon.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/AB544XR,57.451430,-2.974990
scottishpigs,Scottish Pig Producers,,Cooperative,,,,AB54 8DG,,http://www.scottishpigs.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/AB548DG,57.447238,-2.791261
scotwest,Scotwest Credit Union Limited,,Cooperative,,,,G2 4PB,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/G24PB,55.863670,-4.268546
secod,Social Enterprise and Co-operative Development Ltd,,Cooperative,,,,CA7 5AF,,http://secod.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CA75AF,54.952880,-3.215201
secs,South East Co-operative Support,,Cooperative,,,,SO14OAE,,http://secs.coop/,,,,,,
secure,Secure Active CIC,,Cooperative,,,,E8 3DY,,https://secure.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E83DY,51.544684,-0.074030
ses,Sustainable Enterprise Strategies CIC,,Cooperative,,,,SR2 8AH,,http://www.ses.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR28AH,54.901455,-1.373241
sharenergy,Sharenergy,,Cooperative,,,,SY1 2DP,,https://www.sharenergy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SY12DP,52.714876,-2.752476
skye,Isle of Skye Renewables Co-operative,,Cooperative,,,,LA14 2PN,,http://www.skye.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
slcu,Scottish League of Credit Unions,,Cooperative,,,,G33 9BN,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/G339BN,55.865844,-4.184173
sleuth,Sleuth Co op Limited,,Cooperative,,,,N11 2AS,,https://www.sleuth.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/N112AS,51.604529,-0.133580
societygrapevine,International Exhibition Co-operative Wine Society,,Cooperative,,,,SG1 2BG,,http://societygrapevine.com/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SG12BG,51.896084,-0.203001
software/1,Turo Technology LLP,,Cooperative,,,,BS22 9XY,,http://www.software.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS229XY,51.366388,-2.953685
software/2,Turo Technology LLP,,Cooperative,,,,PE33 0PD,,http://www.software.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PE330PD,52.701302,0.417650
solidarityeconomy,Solidarity Economy Association,,Cooperative,,,,OX4 1JE,,https://www.solidarityeconomy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX41JE,51.748316,-1.239064
solidfund,Worker Co-operative Solidarity Fund (SolidFund),,Cooperative,,,,BS2 8PE,,https://solidfund.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS28PE,51.460451,-2.587288
solutions,Co-operative Solutions LLCP,,Cooperative,,,,NN1 4PB,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NN14PB,52.247841,-0.877264
somerset,Somerset Co-op Services CIC,,Cooperative,,,,TA1 3EW,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TA13EW,51.015250,-3.095394
southdownseco,South Downs Eco Housing Co-operative,,Cooperative,,,,BN1 6GG,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN16GG,50.843059,-0.140665
southern,Southern Co operatives,,Cooperative,,,,PO167BN,,http://southern.coop/,,,,,,
spiritoflanarkshire,The Spirit of Lanarkshire Wind Energy Co-operative Limited,,Cooperative,,,,LA14 2PN,,http://www.spiritoflanarkshire.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
